route_id,bus_number,scheduled_arrival,actual_arrival,delay_minutes,distance_km,weekday,weather,region
R027,DL5319,15:35,15:30,-5.0,5.8,Saturday,Cloudy,Dwarka
R001,DL3988,06:42,06:57,15.4,17.7,Tuesday,Rainy,Saket
R043,DL9673,13:53,13:52,-0.3,27.7,Sunday,Rainy,Saket
R050,DL2430,10:37,10:32,-5.0,23.9,Saturday,Rainy,Noida Sector 18
R034,DL2115,15:15,15:17,2.9,10.7,Saturday,Cloudy,Saket
R006,DL5115,09:53,09:53,0.7,9.0,Sunday,Cloudy,Dwarka
R029,DL2756,10:06,10:16,10.0,28.2,Tuesday,Sunny,Saket
R017,DL6236,15:22,15:38,16.6,26.8,Monday,Foggy,Rajouri Garden
R028,DL9858,12:11,12:29,18.7,25.1,Thursday,Rainy,Rajouri Garden
R018,DL3653,16:38,16:44,6.8,27.4,Thursday,Sunny,Noida Sector 18
R020,DL8680,11:24,11:26,2.4,13.0,Friday,Rainy,Rajouri Garden
R047,DL5987,10:43,10:44,1.3,15.7,Saturday,Sunny,Lajpat Nagar
R001,DL8501,15:05,15:00,-5.0,25.5,Monday,Sunny,Dwarka
R016,DL1550,16:48,16:56,8.5,10.6,Wednesday,Cloudy,Lajpat Nagar
R039,DL7730,12:41,12:50,9.5,8.0,Thursday,Cloudy,Noida Sector 18
R013,DL1251,06:30,06:33,3.3,13.1,Sunday,Sunny,Karol Bagh
R025,DL6709,07:32,07:27,-4.4,18.0,Wednesday,Sunny,Lajpat Nagar
R019,DL4658,07:43,08:02,19.0,29.3,Thursday,Sunny,Rohini
R002,DL4319,12:26,12:30,4.8,29.1,Monday,Sunny,Rohini
R011,DL6348,06:43,06:38,-5.0,12.5,Monday,Sunny,Noida Sector 18
R017,DL7232,09:30,09:36,6.0,12.1,Thursday,Sunny,Karol Bagh
R014,DL1231,08:58,08:58,0.7,17.6,Wednesday,Cloudy,Dwarka
R036,DL8175,07:35,07:44,9.8,6.3,Tuesday,Rainy,Saket
R041,DL4231,09:52,09:54,2.4,11.0,Saturday,Cloudy,Karol Bagh
R005,DL4070,10:51,10:59,8.4,8.6,Thursday,Sunny,Lajpat Nagar
R022,DL9754,12:20,12:24,4.9,11.1,Wednesday,Sunny,Rajouri Garden
R036,DL9577,07:53,07:50,-2.8,21.8,Sunday,Sunny,Dwarka
R016,DL7779,06:27,06:39,12.7,23.2,Thursday,Sunny,Connaught Place
R017,DL4938,06:09,06:28,19.1,14.2,Sunday,Cloudy,Rohini
R031,DL7905,13:45,14:03,18.9,18.4,Saturday,Cloudy,Connaught Place
R025,DL6834,14:09,14:09,0.1,7.3,Thursday,Cloudy,Connaught Place
R026,DL7412,15:35,15:49,14.2,9.7,Sunday,Cloudy,Lajpat Nagar
R038,DL9486,14:17,14:39,22.1,6.0,Thursday,Sunny,Saket
R015,DL1357,08:34,08:47,13.7,5.4,Friday,Rainy,Saket
R007,DL9466,14:25,14:36,11.5,17.8,Thursday,Foggy,Karol Bagh
R006,DL5296,17:01,16:56,-5.0,9.4,Sunday,Cloudy,Lajpat Nagar
R007,DL4671,12:14,12:25,11.2,22.3,Sunday,Sunny,Saket
R049,DL1890,06:27,06:30,3.4,8.4,Wednesday,Cloudy,Rajouri Garden
R009,DL7812,16:02,16:03,1.4,13.5,Monday,Rainy,Connaught Place
R003,DL8106,09:22,09:32,10.6,21.5,Friday,Sunny,Rajouri Garden
R034,DL9217,08:17,08:35,18.6,25.4,Sunday,Cloudy,Dwarka
R046,DL4171,16:49,17:19,30.4,11.0,Sunday,Cloudy,Dwarka
R022,DL9899,08:09,08:04,-5.0,7.3,Tuesday,Sunny,Noida Sector 18
R017,DL6493,15:19,15:35,16.9,13.7,Wednesday,Cloudy,Rohini
R039,DL3445,08:43,08:54,11.2,23.1,Saturday,Sunny,Rohini
R007,DL4424,15:34,15:51,17.2,7.1,Tuesday,Sunny,Connaught Place
R011,DL6883,06:08,06:15,7.3,9.0,Sunday,Sunny,Dwarka
R010,DL2041,13:26,13:39,13.5,5.2,Wednesday,Sunny,Karol Bagh
R036,DL9783,14:25,14:31,6.7,7.5,Monday,Cloudy,Noida Sector 18
R007,DL3169,07:39,07:34,-5.0,22.3,Friday,Rainy,Dwarka
R039,DL6564,09:25,09:37,12.3,21.3,Thursday,Rainy,Connaught Place
R028,DL6446,11:33,11:28,-4.5,10.9,Friday,Sunny,Rajouri Garden
R028,DL3516,10:14,10:26,12.7,13.1,Wednesday,Foggy,Connaught Place
R031,DL8514,17:12,17:29,17.7,26.2,Friday,Sunny,Rajouri Garden
R045,DL8003,06:04,06:00,-3.7,21.4,Saturday,Sunny,Rajouri Garden
R017,DL1733,13:08,13:14,6.5,14.2,Sunday,Sunny,Connaught Place
R043,DL7666,15:12,15:25,13.8,11.6,Thursday,Rainy,Karol Bagh
R006,DL8106,12:01,12:03,2.6,20.8,Monday,Sunny,Noida Sector 18
R019,DL2304,08:55,09:27,32.3,24.9,Saturday,Sunny,Noida Sector 18
R045,DL2797,07:35,07:40,5.9,17.3,Tuesday,Sunny,Noida Sector 18
R008,DL9510,15:31,15:26,-4.6,9.9,Monday,Sunny,Connaught Place
R033,DL4058,07:52,08:06,14.8,5.6,Saturday,Sunny,Rajouri Garden
R050,DL6288,15:40,15:43,3.8,21.1,Friday,Sunny,Saket
R020,DL5118,06:24,06:36,12.4,29.2,Tuesday,Cloudy,Karol Bagh
R009,DL4200,17:03,17:03,0.5,29.1,Thursday,Rainy,Rohini
R048,DL5213,06:00,06:12,12.8,14.6,Sunday,Sunny,Karol Bagh
R027,DL7608,16:11,16:06,-4.3,26.3,Monday,Rainy,Rohini
R050,DL9788,10:59,10:58,-0.1,18.9,Wednesday,Sunny,Rajouri Garden
R028,DL1039,11:50,12:01,11.3,28.4,Wednesday,Sunny,Lajpat Nagar
R044,DL5652,16:34,16:56,22.6,7.4,Sunday,Sunny,Rajouri Garden
R006,DL7986,08:29,08:44,15.6,20.4,Thursday,Cloudy,Rajouri Garden
R029,DL3929,13:09,13:14,5.5,23.5,Tuesday,Cloudy,Rohini
R050,DL7780,06:33,06:28,-4.6,22.4,Tuesday,Cloudy,Rohini
R047,DL3353,11:48,12:06,18.8,12.3,Tuesday,Rainy,Karol Bagh
R011,DL8412,17:44,17:52,8.0,25.2,Sunday,Sunny,Connaught Place
R028,DL2668,09:32,09:39,7.6,27.8,Tuesday,Cloudy,Saket
R004,DL9129,17:22,17:41,19.4,17.8,Thursday,Rainy,Dwarka
R014,DL8478,14:00,14:05,5.1,21.2,Saturday,Cloudy,Noida Sector 18
R021,DL8908,06:05,06:12,7.3,22.5,Saturday,Sunny,Rajouri Garden
R007,DL8819,15:32,15:38,6.8,13.4,Sunday,Rainy,Connaught Place
R023,DL9521,15:13,15:19,6.7,14.4,Saturday,Sunny,Rohini
R047,DL6176,16:58,16:54,-3.6,5.9,Thursday,Sunny,Noida Sector 18
R046,DL6943,06:11,06:06,-5.0,16.6,Tuesday,Sunny,Rajouri Garden
R037,DL4131,17:44,17:52,8.6,19.8,Wednesday,Sunny,Rajouri Garden
R019,DL6146,12:04,12:00,-3.9,5.8,Friday,Rainy,Saket
R041,DL6291,12:14,12:15,1.7,18.1,Monday,Cloudy,Connaught Place
R027,DL6618,11:21,11:31,10.5,24.2,Monday,Cloudy,Noida Sector 18
R042,DL5561,15:58,15:53,-5.0,7.1,Friday,Sunny,Dwarka
R011,DL6588,15:27,15:55,28.9,6.3,Friday,Sunny,Rajouri Garden
R025,DL7151,15:51,16:14,23.4,20.9,Sunday,Sunny,Karol Bagh
R039,DL9135,12:33,12:38,5.2,23.2,Tuesday,Sunny,Dwarka
R031,DL5660,13:44,13:53,9.4,13.1,Wednesday,Cloudy,Rohini
R046,DL1933,12:00,12:00,0.6,24.9,Friday,Cloudy,Rajouri Garden
R037,DL2800,15:07,15:02,-5.0,7.0,Thursday,Cloudy,Connaught Place
R008,DL4696,14:27,14:24,-2.7,5.6,Thursday,Sunny,Connaught Place
R010,DL6895,16:53,17:14,21.6,9.3,Wednesday,Cloudy,Connaught Place
R006,DL9826,07:47,07:55,8.2,8.9,Saturday,Sunny,Noida Sector 18
R042,DL6986,07:46,07:41,-5.0,22.9,Thursday,Sunny,Lajpat Nagar
R049,DL4296,14:22,14:30,8.8,21.5,Monday,Sunny,Noida Sector 18
R048,DL6269,15:08,15:29,21.5,20.3,Sunday,Cloudy,Rohini
R002,DL1661,12:03,12:00,-2.3,15.5,Tuesday,Cloudy,Noida Sector 18
R032,DL4096,09:22,09:17,-5.0,23.9,Monday,Sunny,Rajouri Garden
R013,DL8828,15:14,15:16,2.6,5.4,Wednesday,Sunny,Noida Sector 18
R009,DL2749,07:57,08:20,23.7,7.4,Sunday,Cloudy,Connaught Place
R037,DL4136,17:19,17:14,-5.0,17.3,Sunday,Rainy,Lajpat Nagar
R022,DL1765,17:52,17:55,3.9,15.8,Tuesday,Sunny,Karol Bagh
R012,DL7780,10:09,10:29,20.4,15.0,Monday,Sunny,Dwarka
R018,DL6154,13:44,14:02,18.2,6.1,Sunday,Sunny,Dwarka
R046,DL6573,14:58,15:03,5.6,14.4,Monday,Sunny,Dwarka
R035,DL1317,16:45,17:13,28.5,26.4,Thursday,Cloudy,Karol Bagh
R048,DL3627,16:44,16:46,3.0,21.5,Saturday,Cloudy,Lajpat Nagar
R021,DL8705,13:09,13:14,5.6,19.6,Tuesday,Sunny,Connaught Place
R032,DL1236,08:16,08:11,-5.0,28.5,Saturday,Cloudy,Dwarka
R012,DL4407,16:32,16:49,17.8,21.1,Sunday,Sunny,Connaught Place
R035,DL9253,06:09,06:20,11.9,16.5,Saturday,Rainy,Rohini
R040,DL7700,07:35,07:40,5.7,14.7,Sunday,Sunny,Dwarka
R046,DL8965,14:53,14:53,0.1,29.0,Tuesday,Foggy,Karol Bagh
R044,DL1881,09:29,09:36,7.1,13.0,Saturday,Cloudy,Noida Sector 18
R001,DL2519,11:23,11:21,-1.2,26.1,Sunday,Cloudy,Connaught Place
R042,DL4253,11:31,11:32,1.4,22.4,Tuesday,Sunny,Lajpat Nagar
R028,DL4058,07:41,07:49,8.6,20.7,Friday,Cloudy,Rohini
R018,DL1570,14:58,15:08,10.8,25.1,Monday,Sunny,Lajpat Nagar
R026,DL4501,15:16,15:26,10.5,12.1,Thursday,Cloudy,Connaught Place
R013,DL1299,06:37,06:34,-2.1,25.2,Thursday,Sunny,Connaught Place
R021,DL8612,15:34,15:29,-5.0,29.8,Friday,Sunny,Dwarka
R035,DL5850,14:07,14:02,-5.0,24.4,Thursday,Cloudy,Lajpat Nagar
R040,DL9299,07:45,08:05,20.5,13.5,Thursday,Foggy,Noida Sector 18
R004,DL5680,11:32,11:32,0.6,23.9,Friday,Rainy,Dwarka
R004,DL5611,07:37,07:42,5.1,7.6,Sunday,Rainy,Karol Bagh
R015,DL9862,07:50,08:04,14.3,25.7,Saturday,Rainy,Saket
R015,DL2988,15:30,15:32,2.6,13.0,Monday,Sunny,Dwarka
R038,DL2340,15:07,15:20,13.5,5.3,Sunday,Sunny,Rajouri Garden
R016,DL2949,12:04,12:06,2.3,27.6,Wednesday,Rainy,Noida Sector 18
R024,DL2173,13:30,13:28,-1.1,28.8,Tuesday,Foggy,Lajpat Nagar
R046,DL8854,11:27,11:51,24.1,28.8,Tuesday,Sunny,Lajpat Nagar
R005,DL2089,15:03,15:18,15.7,16.2,Thursday,Rainy,Rohini
R050,DL8503,14:08,14:25,17.0,12.3,Tuesday,Cloudy,Dwarka
R015,DL3946,10:02,09:57,-5.0,23.8,Thursday,Sunny,Noida Sector 18
R017,DL9450,17:38,17:36,-2.0,24.8,Friday,Rainy,Connaught Place
R008,DL8912,10:05,10:09,4.9,18.7,Friday,Cloudy,Noida Sector 18
R002,DL2952,13:27,13:28,1.9,16.0,Tuesday,Cloudy,Noida Sector 18
R042,DL7057,08:54,09:07,13.0,7.9,Thursday,Sunny,Connaught Place
R036,DL7056,10:38,10:49,11.1,8.6,Wednesday,Cloudy,Saket
R011,DL5292,09:07,09:25,18.6,7.5,Sunday,Rainy,Dwarka
R022,DL8692,16:04,16:04,0.7,7.1,Thursday,Sunny,Rajouri Garden
R026,DL5849,12:19,12:26,7.0,25.5,Saturday,Sunny,Rohini
R015,DL2308,15:02,15:18,16.5,22.7,Wednesday,Cloudy,Noida Sector 18
R040,DL4056,06:57,06:57,0.2,28.7,Tuesday,Cloudy,Noida Sector 18
R001,DL2640,10:46,10:44,-1.6,29.7,Wednesday,Cloudy,Karol Bagh
R008,DL5384,13:46,14:04,18.6,7.1,Thursday,Cloudy,Rohini
R036,DL8198,15:33,15:28,-5.0,24.4,Monday,Sunny,Saket
R007,DL4015,12:50,13:10,20.7,27.7,Monday,Sunny,Lajpat Nagar
R040,DL2170,08:09,08:10,2.0,7.8,Monday,Cloudy,Noida Sector 18
R027,DL2467,12:20,12:24,5.0,16.7,Wednesday,Rainy,Rohini
R022,DL7997,17:21,17:38,17.7,6.4,Monday,Rainy,Lajpat Nagar
R039,DL7759,17:14,17:26,12.7,19.6,Thursday,Sunny,Lajpat Nagar
R039,DL4270,10:44,10:39,-5.0,29.1,Friday,Sunny,Karol Bagh
R032,DL7386,10:48,10:44,-3.4,26.7,Thursday,Sunny,Lajpat Nagar
R009,DL2374,16:46,16:51,5.7,10.6,Friday,Cloudy,Karol Bagh
R013,DL9450,14:25,14:39,14.8,29.8,Tuesday,Sunny,Connaught Place
R044,DL3392,12:26,12:35,9.7,6.8,Thursday,Sunny,Connaught Place
R046,DL1994,13:32,13:37,5.5,18.1,Sunday,Rainy,Connaught Place
R027,DL2579,14:33,14:33,0.7,20.7,Friday,Sunny,Noida Sector 18
R007,DL4128,10:28,10:51,23.6,20.7,Saturday,Cloudy,Connaught Place
R021,DL3643,14:03,14:06,3.9,19.6,Wednesday,Rainy,Dwarka
R033,DL6983,07:38,07:52,14.8,20.5,Sunday,Sunny,Noida Sector 18
R014,DL3681,12:46,12:49,3.4,11.9,Wednesday,Sunny,Saket
R006,DL7017,16:56,16:51,-5.0,13.8,Sunday,Sunny,Rohini
R020,DL7837,06:45,06:40,-5.0,19.6,Friday,Cloudy,Saket
R014,DL1250,14:04,14:12,8.6,25.3,Tuesday,Sunny,Dwarka
R003,DL7741,15:31,15:43,12.4,22.1,Wednesday,Sunny,Connaught Place
R042,DL1636,07:00,07:19,19.8,15.5,Saturday,Sunny,Karol Bagh
R005,DL2119,06:53,06:57,4.3,28.3,Friday,Rainy,Karol Bagh
R045,DL4337,11:36,11:38,2.2,25.3,Friday,Sunny,Rajouri Garden
R036,DL9183,09:21,09:28,8.0,29.7,Friday,Rainy,Dwarka
R035,DL3982,07:01,06:56,-5.0,14.5,Tuesday,Rainy,Karol Bagh
R043,DL7451,13:53,14:00,7.8,29.2,Saturday,Foggy,Dwarka
R022,DL3310,15:22,15:29,7.8,16.7,Sunday,Sunny,Rajouri Garden
R012,DL6924,14:47,14:50,3.9,15.4,Friday,Cloudy,Dwarka
R006,DL6146,16:52,16:56,4.4,26.6,Friday,Rainy,Saket
R033,DL4318,08:31,08:51,20.2,25.3,Saturday,Cloudy,Karol Bagh
R046,DL7042,07:47,07:55,8.1,28.6,Tuesday,Sunny,Dwarka
R047,DL9241,16:34,16:35,1.9,26.2,Sunday,Sunny,Dwarka
R002,DL5929,14:10,14:05,-5.0,8.2,Thursday,Sunny,Karol Bagh
R043,DL6939,13:09,13:04,-5.0,28.9,Tuesday,Sunny,Saket
R006,DL9076,15:18,15:28,10.4,21.8,Saturday,Rainy,Noida Sector 18
R020,DL1377,10:27,10:23,-3.3,20.5,Tuesday,Foggy,Rajouri Garden
R022,DL7033,07:24,07:25,2.0,21.8,Sunday,Sunny,Lajpat Nagar
R042,DL2646,14:16,14:22,6.1,18.0,Friday,Cloudy,Karol Bagh
R002,DL1369,15:51,16:11,20.5,26.3,Saturday,Sunny,Connaught Place
R021,DL4917,07:33,07:48,15.3,18.8,Thursday,Cloudy,Lajpat Nagar
R035,DL8187,12:14,12:20,6.7,15.1,Saturday,Sunny,Saket
R036,DL3640,10:42,11:01,19.9,8.4,Sunday,Sunny,Connaught Place
R032,DL9917,11:40,11:53,13.8,10.3,Wednesday,Sunny,Dwarka
R019,DL4207,16:51,16:46,-5.0,8.4,Friday,Cloudy,Lajpat Nagar
R047,DL9709,08:48,09:07,19.4,15.9,Tuesday,Sunny,Saket
R023,DL9940,16:56,17:03,7.0,27.6,Saturday,Sunny,Lajpat Nagar
R041,DL2048,16:02,15:57,-5.0,24.6,Wednesday,Sunny,Lajpat Nagar
R027,DL4243,13:02,13:16,14.8,14.9,Saturday,Rainy,Connaught Place
R046,DL6255,13:36,13:44,8.3,28.7,Wednesday,Rainy,Saket
R024,DL3121,14:25,14:29,4.9,8.7,Saturday,Cloudy,Lajpat Nagar
R017,DL1974,07:21,07:33,13.0,11.5,Monday,Cloudy,Dwarka
R016,DL1894,09:54,09:58,4.9,16.5,Wednesday,Sunny,Saket
R018,DL6866,13:23,13:32,9.0,13.2,Sunday,Sunny,Dwarka
R027,DL5194,16:08,16:11,3.8,20.8,Thursday,Sunny,Saket
R049,DL1025,07:38,07:42,4.2,8.2,Thursday,Cloudy,Rohini
R021,DL1974,17:30,17:25,-5.0,8.2,Thursday,Sunny,Rohini
R003,DL2604,06:23,06:32,9.9,13.6,Sunday,Sunny,Lajpat Nagar
R030,DL5019,13:51,14:16,25.6,27.4,Tuesday,Sunny,Noida Sector 18
R048,DL7314,06:12,06:13,1.8,9.3,Thursday,Sunny,Lajpat Nagar
R043,DL3481,06:49,06:45,-3.2,9.8,Sunday,Rainy,Connaught Place
R036,DL8915,13:29,13:28,-0.6,7.2,Tuesday,Sunny,Karol Bagh
R015,DL5381,15:14,15:09,-5.0,8.0,Thursday,Sunny,Noida Sector 18
R004,DL8397,08:31,08:34,3.1,14.1,Sunday,Sunny,Dwarka
R008,DL8073,13:49,13:52,4.0,17.6,Monday,Sunny,Rohini
R031,DL4423,13:09,13:14,5.4,25.0,Monday,Rainy,Rohini
R037,DL9430,09:27,09:40,13.5,20.7,Monday,Sunny,Dwarka
R033,DL2553,17:48,17:46,-1.2,23.7,Friday,Sunny,Connaught Place
R007,DL5313,16:24,16:23,-0.5,9.6,Monday,Foggy,Dwarka
R009,DL4943,11:43,11:38,-5.0,17.1,Sunday,Sunny,Lajpat Nagar
R034,DL5157,08:23,08:21,-1.3,20.5,Monday,Cloudy,Noida Sector 18
R041,DL6117,13:49,13:44,-5.0,23.7,Sunday,Foggy,Connaught Place
R044,DL1662,13:14,13:27,13.5,5.9,Saturday,Rainy,Rohini
R017,DL4595,07:37,07:32,-4.9,27.4,Monday,Sunny,Saket
R002,DL7912,11:55,11:50,-4.7,17.8,Wednesday,Cloudy,Saket
R024,DL4332,06:07,06:12,5.8,16.2,Friday,Sunny,Rohini
R036,DL1836,17:45,17:41,-3.1,18.3,Sunday,Sunny,Noida Sector 18
R035,DL4721,06:02,05:57,-4.0,14.4,Tuesday,Sunny,Rohini
R006,DL1242,13:11,13:06,-5.0,5.5,Saturday,Cloudy,Dwarka
R010,DL9087,10:27,10:25,-1.5,13.2,Friday,Cloudy,Rohini
R012,DL4277,14:19,14:26,7.2,8.0,Saturday,Cloudy,Lajpat Nagar
R007,DL2610,11:34,11:48,14.1,22.0,Sunday,Sunny,Lajpat Nagar
R045,DL5264,16:31,16:27,-3.7,24.7,Tuesday,Cloudy,Karol Bagh
R050,DL6787,06:46,06:50,5.0,18.4,Tuesday,Sunny,Rajouri Garden
R024,DL4108,08:54,08:54,0.6,19.7,Friday,Sunny,Rajouri Garden
R027,DL1019,14:35,14:55,20.8,8.2,Wednesday,Sunny,Connaught Place
R016,DL9822,08:12,08:30,19.0,12.1,Saturday,Cloudy,Noida Sector 18
R032,DL4211,14:01,13:56,-5.0,19.3,Tuesday,Sunny,Saket
R019,DL9095,09:57,10:02,5.3,13.9,Tuesday,Rainy,Saket
R021,DL9319,12:22,12:28,6.3,10.9,Thursday,Rainy,Noida Sector 18
R043,DL6182,07:52,07:52,0.4,7.5,Saturday,Sunny,Dwarka
R028,DL6617,13:12,13:10,-1.3,9.0,Saturday,Sunny,Rajouri Garden
R012,DL9418,16:41,16:37,-3.3,9.7,Saturday,Sunny,Connaught Place
R014,DL6082,13:21,13:20,-0.5,27.4,Sunday,Rainy,Dwarka
R034,DL8572,17:44,17:39,-5.0,7.0,Thursday,Sunny,Saket
R016,DL3985,07:32,07:43,11.8,29.6,Monday,Rainy,Saket
R050,DL1350,15:54,16:02,8.9,7.8,Saturday,Cloudy,Dwarka
R035,DL1904,11:13,11:17,4.2,26.6,Thursday,Sunny,Dwarka
R048,DL3548,16:26,16:23,-2.2,25.4,Monday,Sunny,Karol Bagh
R012,DL9474,17:10,17:09,-0.3,21.7,Friday,Sunny,Lajpat Nagar
R042,DL2121,07:38,08:03,25.4,28.2,Thursday,Rainy,Saket
R016,DL1841,09:30,09:51,21.2,12.0,Wednesday,Cloudy,Dwarka
R030,DL3384,06:50,06:49,-0.6,24.2,Thursday,Sunny,Rajouri Garden
R025,DL3156,06:54,06:49,-5.0,15.6,Friday,Cloudy,Rajouri Garden
R045,DL8170,10:07,10:07,0.4,17.7,Sunday,Rainy,Rohini
R034,DL8123,13:23,13:24,1.9,20.3,Saturday,Sunny,Connaught Place
R036,DL5430,09:44,09:39,-5.0,12.2,Friday,Sunny,Rohini
R021,DL2877,10:30,10:37,7.7,17.0,Saturday,Sunny,Rohini
R034,DL7698,11:28,11:31,3.5,18.3,Saturday,Cloudy,Rajouri Garden
R014,DL9513,08:09,08:09,0.9,8.4,Friday,Cloudy,Lajpat Nagar
R030,DL6993,08:02,08:00,-1.0,6.6,Tuesday,Sunny,Rohini
R049,DL7574,09:14,09:26,12.6,22.0,Saturday,Sunny,Connaught Place
R047,DL1804,11:55,11:52,-2.2,24.0,Saturday,Rainy,Karol Bagh
R015,DL9003,10:32,11:01,29.3,15.3,Thursday,Rainy,Saket
R044,DL2291,15:04,15:10,6.7,13.7,Thursday,Sunny,Rohini
R015,DL3916,10:09,10:14,5.9,9.5,Sunday,Sunny,Karol Bagh
R033,DL9382,11:27,11:36,9.9,6.7,Thursday,Sunny,Rajouri Garden
R031,DL1669,17:19,17:39,20.8,26.0,Friday,Sunny,Saket
R042,DL9462,17:31,17:30,-0.9,8.5,Wednesday,Sunny,Noida Sector 18
R026,DL9020,06:09,06:19,10.9,9.1,Thursday,Sunny,Connaught Place
R035,DL2735,06:46,06:56,10.4,9.1,Thursday,Rainy,Noida Sector 18
R020,DL6519,16:48,17:03,15.3,18.1,Sunday,Sunny,Connaught Place
R020,DL7030,12:34,12:36,2.3,14.0,Friday,Rainy,Saket
R009,DL2694,11:07,11:21,14.5,25.4,Sunday,Cloudy,Rohini
R004,DL3101,11:54,11:52,-1.8,16.0,Sunday,Cloudy,Rajouri Garden
R026,DL1230,12:36,12:31,-5.0,12.5,Wednesday,Cloudy,Rohini
R005,DL1727,06:57,06:52,-5.0,23.7,Wednesday,Rainy,Rajouri Garden
R041,DL4019,07:56,08:01,5.2,27.5,Monday,Sunny,Rohini
R035,DL5444,16:19,16:32,13.9,14.6,Monday,Sunny,Rajouri Garden
R002,DL7575,15:49,15:54,6.0,20.6,Friday,Sunny,Lajpat Nagar
R023,DL1307,17:16,17:22,6.7,7.9,Tuesday,Sunny,Connaught Place
R021,DL9696,16:43,16:53,10.7,13.4,Friday,Rainy,Karol Bagh
R037,DL8512,13:59,14:09,10.1,8.5,Friday,Cloudy,Lajpat Nagar
R031,DL3159,11:51,12:08,17.5,18.3,Wednesday,Sunny,Rohini
R042,DL6179,16:26,16:26,0.1,27.3,Tuesday,Cloudy,Dwarka
R021,DL1162,12:07,12:16,9.0,12.8,Sunday,Rainy,Lajpat Nagar
R017,DL8246,14:53,15:13,20.1,11.2,Monday,Sunny,Dwarka
R026,DL3053,08:43,08:52,9.0,26.9,Wednesday,Cloudy,Rohini
R039,DL6173,07:10,07:27,17.9,13.6,Monday,Cloudy,Noida Sector 18
R049,DL2882,12:39,12:39,0.6,8.7,Monday,Sunny,Rajouri Garden
